BPSno,OccurredDate,OfficerAge,OfficerYearsEmployed,OfficerAssignment,CitizenAge,CitizenRace,CitizenSex,OfficerRace,OfficerSex,ReportNumber,ReceivedDate,Month,Year,OfficerDivision,CitizenInjury,ForceEffective,Active Resistance,Physical Aggression,Non Compliance,Deadly Weapon,Assault,Fleeing,Passive Resistance,Not Noted,OfficerInjury,ForceType
UOF19-200,2019-07-19,20-29,6-10 yrs,Canine Unit,30-39,White,Male,White,Male,19-34030,2019-07-19,7,2019,Special Operations,K-9 bite wound,Yes,1,0,1,0,0,1,0,0,No injuries noted or visible,Canine
UOF19-235,2019-08-07,20-29,6-10 yrs,City Of Jennings Precinct,30-39,Black,Male,White,Male,19-37303,2019-08-07,8,2019,Patrol,No injuries noted or visible,No,0,0,1,0,0,1,0,0,No injuries noted or visible,Taser
UOF19-225,2019-09-10,30-39,6-10 yrs,Affton Southwest Precinct,30-39,White,Female,White,Male,19-42926,2019-09-10,9,2019,Patrol,No injuries noted or visible,No,1,0,0,0,1,0,0,0,No injuries noted or visible,Physical Restraint
UOF19-225,2019-09-10,30-39,6-10 yrs,Affton Southwest Precinct,30-39,White,Female,White,Male,19-42926,2019-09-10,9,2019,Patrol,No injuries noted or visible,Yes,1,0,0,0,1,0,0,0,No injuries noted or visible,Physical Restraint
UOF19-225,2019-09-10,30-39,6-10 yrs,Affton Southwest Precinct,30-39,White,Female,White,Male,19-42926,2019-09-10,9,2019,Patrol,No injuries noted or visible,Yes,1,0,0,0,1,0,0,0,No injuries noted or visible,Pepper Spray
UOF20-0011,2019-10-14,30-39,6-10 yrs,North County Precinct,30-39,Black,Female,White,Male,19-48754,2019-10-14,10,2019,Patrol,No injuries noted or visible,No,0,1,0,0,1,0,0,0,No injuries noted or visible,Physical (Striking)
UOF20-0011,2019-10-14,30-39,6-10 yrs,North County Precinct,30-39,Black,Female,White,Male,19-48754,2019-10-14,10,2019,Patrol,No injuries noted or visible,No,0,1,0,0,1,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0011,2019-10-14,30-39,6-10 yrs,North County Precinct,30-39,Black,Female,White,Male,19-48754,2019-10-14,10,2019,Patrol,No injuries noted or visible,Yes,0,1,0,0,1,0,0,0,No injuries noted or visible,Pepper Spray
UOF20-0011,2019-10-14,30-39,6-10 yrs,North County Precinct,30-39,Black,Female,White,Male,19-48754,2019-10-14,10,2019,Patrol,No injuries noted or visible,Yes,0,1,0,0,1,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0026,2019-10-16,30-39,6-10 yrs,South County Precinct,30-39,Black,Female,White,Male,19-49015,2019-10-16,10,2019,Patrol,No injuries noted or visible,Yes,1,0,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0036,2019-11-14,20-29,6-10 yrs,City Of Jennings Precinct,30-39,Black,Female,White,Male,19-53953,2019-11-14,11,2019,Patrol,No injuries noted or visible,Yes,0,0,1,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0019,2019-11-15,30-39,6-10 yrs,City Of Jennings Precinct,30-39,Black,Male,White,Male,19-54049,2019-11-15,11,2019,Patrol,No injuries noted or visible,Yes,1,0,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0065,2019-03-19,30-39,6-10 yrs,South County Precinct,30-39,White,Male,White,Male,19-13065,2020-02-07,2,2020,Patrol,Serious Injury,Yes,0,1,1,1,1,0,0,0,No injuries noted or visible,Firearm
UOF20-0088,2020-02-13,30-39,6-10 yrs,North County Precinct,30-39,Black,Male,White,Male,20-7389,2020-02-13,2,2020,Patrol,No injuries noted or visible,No,1,0,1,0,1,0,0,0,Minor,Taser
UOF20-0088,2020-02-13,30-39,6-10 yrs,North County Precinct,30-39,Black,Male,White,Male,20-7389,2020-02-13,2,2020,Patrol,No injuries noted or visible,Yes,1,0,1,0,1,0,0,0,Minor,Taser
UOF20-0088,2020-02-13,30-39,6-10 yrs,North County Precinct,30-39,Black,Male,White,Male,20-7389,2020-02-13,2,2020,Patrol,No injuries noted or visible,Yes,1,0,1,0,1,0,0,0,Minor,Physical Restraint
UOF20-0088,2020-02-13,30-39,6-10 yrs,North County Precinct,30-39,Black,Male,White,Male,20-7389,2020-02-13,2,2020,Patrol,No injuries noted or visible,Yes,1,0,1,0,1,0,0,0,Minor,Taser
UOF20-0101,2020-02-17,30-39,6-10 yrs,Bureau Of Transit Police,30-39,White,Male,White,Male,20-8208,2020-02-17,2,2020,Special Operations,No injuries noted or visible,Yes,1,0,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0101,2020-02-17,30-39,6-10 yrs,Bureau Of Transit Police,30-39,White,Male,White,Male,20-8208,2020-02-17,2,2020,Special Operations,No injuries noted or visible,Yes,1,0,0,0,0,0,0,0,No injuries noted or visible,Physical (Striking)
UOF20-0119,2020-02-19,30-39,6-10 yrs,Intelligence Unit,30-39,White,Male,White,Male,20-8485,2020-02-19,2,2020,Chief's Office,Minor Injury,Yes,0,0,1,0,1,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0097,2020-02-21,40-49,6-10 yrs,Bureau Of Transit Police,30-39,Black,Female,White,Male,20-008814,2020-02-21,2,2020,Special Operations,No injuries noted or visible,Yes,1,1,1,0,1,0,0,0,Minor,Physical (Striking)
UOF20-0138,2020-03-19,30-39,6-10 yrs,Intelligence Unit,30-39,Black,Male,White,Male,20-7532,2020-04-03,4,2020,Chief's Office,Minor Injury,Yes,0,1,0,0,1,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0138,2020-03-19,30-39,6-10 yrs,Intelligence Unit,30-39,Black,Male,White,Male,20-7532,2020-04-03,4,2020,Chief's Office,Minor Injury,Yes,0,1,0,0,1,0,0,0,Minor,Physical (Striking)
UOF20-0197,2020-06-10,30-39,6-10 yrs,North County Precinct,30-39,Black,Male,White,Male,20-21714,2020-06-10,6,2020,Patrol,No injuries noted or visible,Yes,1,0,1,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0220,2020-08-07,30-39,6-10 yrs,City Of Fenton Precinct,30-39,Black,Female,White,Male,20-29572,2020-08-07,8,2020,Patrol,Minor Injury,Yes,1,1,1,0,0,0,1,0,No injuries noted or visible,Physical Restraint
UOF20-0249,2020-08-16,30-39,6-10 yrs,West County Precinct,30-39,White,Male,White,Male,20-30810,2020-08-16,8,2020,Patrol,No injuries noted or visible,Yes,1,1,1,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0249,2020-08-16,30-39,6-10 yrs,West County Precinct,30-39,White,Male,White,Male,20-30810,2020-08-16,8,2020,Patrol,No injuries noted or visible,Yes,1,1,1,0,0,0,0,0,No injuries noted or visible,Physical (Striking)
UOF21-0032,2020-12-23,30-39,6-10 yrs,Canine Unit,30-39,White,Female,White,Male,20-048717,2020-12-23,12,2020,Special Operations,K-9 bite wound,Yes,0,0,1,0,0,1,0,0,No injuries noted or visible,Canine
UOF21-0014,2020-12-24,20-29,6-10 yrs,Affton Southwest Precinct,30-39,Black,Male,White,Male,20-48829,2020-12-24,12,2020,Patrol,Minor Injury,Limited,1,0,1,0,0,0,0,0,No injuries noted or visible,Taser
UOF21-0014,2020-12-24,20-29,6-10 yrs,Affton Southwest Precinct,30-39,Black,Male,White,Male,20-48829,2020-12-24,12,2020,Patrol,Minor Injury,Yes,1,0,1,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF21-0038,2021-02-01,30-39,6-10 yrs,North County Precinct,30-39,Black,Male,White,Male,21-4155,2021-02-01,2,2021,Patrol,Minor Injury,Yes,1,0,1,0,0,1,0,0,Minor,Physical Restraint
UOF21-0038,2021-02-01,30-39,6-10 yrs,North County Precinct,30-39,Black,Male,White,Male,21-4155,2021-02-01,2,2021,Patrol,Minor Injury,Yes,1,0,1,0,0,1,0,0,No injuries noted or visible,Physical Restraint
UOF21-0048,2021-02-17,30-39,6-10 yrs,North County Precinct,30-39,Black,Male,White,Male,21-6210,2021-02-17,2,2021,Patrol,No injuries noted or visible,Yes,1,1,1,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF21-0048,2021-02-17,30-39,6-10 yrs,North County Precinct,30-39,Black,Male,White,Male,21-6210,2021-02-17,2,2021,Patrol,No injuries noted or visible,Yes,1,1,1,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF21-0042,2021-02-19,30-39,6-10 yrs,Bureau Of Transit Police,30-39,White,Male,White,Male,21-6546,2021-02-19,2,2021,Special Operations,No injuries noted or visible,Yes,0,0,0,0,0,1,0,0,No injuries noted or visible,Physical Restraint
UOF21-0085,2021-03-11,30-39,6-10 yrs,Police Canine Unit,30-39,Black,Male,White,Male,21-9259,2021-03-11,3,2021,Special Operations,Minor Injury,Yes,1,0,1,0,0,0,1,0,No injuries noted or visible,Physical Restraint
UOF21-0074,2021-03-12,50-59,6-10 yrs,Security Services,30-39,Black,Male,White,Male,21-9273,2021-03-12,3,2021,Special Operations,No injuries noted or visible,Yes,1,0,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF21-0084,2021-03-18,30-39,6-10 yrs,North County Precinct,30-39,Black,Male,White,Male,21-10135,2021-03-18,3,2021,Patrol,No injuries noted or visible,Yes,1,0,1,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF21-0084,2021-03-18,30-39,6-10 yrs,North County Precinct,30-39,Black,Male,White,Male,21-10135,2021-03-18,3,2021,Patrol,No injuries noted or visible,Yes,1,0,1,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF18-071,2018-01-20,30-39,11-15 yrs,North County Precinct,30-39,Black,Male,White,Male,18-3666,2018-01-20,1,2018,Patrol,No injuries noted or visible,Yes,0,1,0,0,1,0,0,0,No injuries noted or visible,Physical Restraint
UOF18-099,2018-02-17,30-39,11-15 yrs,North County Precinct,30-39,Black,Male,White,Male,18-8755,2018-02-17,2,2018,Patrol,No injuries noted or visible,Yes,0,1,1,0,0,1,0,0,No injuries noted or visible,Physical (Striking)
UOF18-199,2018-07-25,30-39,11-15 yrs,South County Precinct,30-39,White,Male,White,Male,18-36549,2018-07-25,7,2018,Patrol,Minor Injury,Yes,0,0,1,0,0,1,0,0,Minor,Taser
UOF19-042,2018-10-04,40-49,11-15 yrs,Drug Enforcement,30-39,White,Male,Black,Male,18-50556,2018-10-04,10,2018,Criminal Investigation,Not Specified,Yes,1,1,0,0,0,1,0,0,No injuries noted or visible,Physical (Striking)
UOF18-273,2018-10-09,30-39,11-15 yrs,North County Precinct,30-39,Black,Male,White,Male,18-51391,2018-10-09,10,2018,Patrol,No injuries noted or visible,Yes,1,0,1,0,0,1,0,0,No injuries noted or visible,Taser
UOF19-008,2018-11-28,30-39,11-15 yrs,South County Precinct,30-39,Black,Male,White,Male,18-59917,2018-11-28,11,2018,Patrol,No injuries noted or visible,No,1,1,1,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF19-011,2018-12-15,30-39,11-15 yrs,South County Precinct,30-39,White,Female,White,Male,18-63083,2018-12-15,12,2018,Patrol,Minor Injury,Yes,1,1,1,0,1,0,1,0,No injuries noted or visible,Physical Restraint
UOF19-012,2018-12-19,30-39,11-15 yrs,South County Precinct,30-39,White,Male,White,Male,18-63762,2018-12-19,12,2018,Patrol,No injuries noted or visible,Yes,0,0,1,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF19-090,2019-03-03,30-39,11-15 yrs,North County Precinct,30-39,Black,Male,White,Male,19-10460,2019-03-03,3,2019,Patrol,No injuries noted or visible,Yes,1,0,1,0,1,0,0,0,Minor,Physical Restraint
UOF19-188,2019-06-17,40-49,11-15 yrs,Central County Precinct,30-39,Black,Male,White,Male,19-28309,2019-06-17,6,2019,Patrol,No injuries noted or visible,Yes,1,1,1,0,1,1,0,0,Minor,Physical Restraint
UOF19-170,2019-06-21,50-59,11-15 yrs,City Of Wildwood Precinct,30-39,White,Male,White,Male,19-29202,2019-06-21,6,2019,Patrol,No injuries noted or visible,Yes,0,1,0,0,0,0,0,0,No injuries noted or visible,Other
UOF19-234,2019-06-25,40-49,11-15 yrs,Drug Enforcement,30-39,Black,Male,White,Male,19-29762,2019-06-25,6,2019,Criminal Investigation,Minor Injury,Yes,0,0,1,0,0,1,0,0,No injuries noted or visible,Physical Restraint
UOF19-193,2019-07-21,30-39,11-15 yrs,Central County Precinct,30-39,Black,Female,White,Male,19-34298,2019-07-21,7,2019,Patrol,No injuries noted or visible,No,1,0,1,0,0,0,0,0,No injuries noted or visible,Taser
UOF19-220,2019-09-01,30-39,11-15 yrs,Bureau Of Transit Police,30-39,Black,Male,White,Male,19-41439,2019-09-01,9,2019,Special Operations,No injuries noted or visible,Yes,1,0,1,0,1,0,0,0,No injuries noted or visible,Physical (Striking)
UOF19-220,2019-09-01,40-49,11-15 yrs,Bureau Of Transit Police,30-39,Black,Male,White,Male,19-41439,2019-09-01,9,2019,Special Operations,No injuries noted or visible,Yes,1,0,1,0,1,0,0,0,No injuries noted or visible,Physical Restraint
UOF19-238,2019-10-07,30-39,11-15 yrs,Central County Precinct,30-39,White,Male,White,Male,19-47640,2019-10-07,10,2019,Patrol,No injuries noted or visible,No,1,1,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0015,2019-10-30,30-39,11-15 yrs,West County Precinct,30-39,White,Male,White,Male,19-51428,2019-10-30,10,2019,Patrol,Minor Injury,Yes,1,0,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0057,2019-10-30,30-39,11-15 yrs,North County Precinct,30-39,Black,Male,White,Male,19-51277,2019-10-30,10,2019,Patrol,No injuries noted or visible,No,1,0,1,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0057,2019-10-30,30-39,11-15 yrs,North County Precinct,30-39,Black,Male,White,Male,19-51277,2019-10-30,10,2019,Patrol,No injuries noted or visible,No,1,0,1,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0057,2019-10-30,30-39,11-15 yrs,North County Precinct,30-39,Black,Male,White,Male,19-51277,2019-10-30,10,2019,Patrol,No injuries noted or visible,Yes,1,0,1,0,0,0,0,0,No injuries noted or visible,Physical (Striking)
UOF20-0041,2019-12-22,30-39,11-15 yrs,West County Precinct,30-39,White,Male,White,Male,19-60321,2019-12-22,12,2019,Patrol,Minor Injury,Yes,0,0,0,0,0,1,0,0,No injuries noted or visible,Physical Restraint
UOF20-0042,2019-12-26,30-39,11-15 yrs,South County Precinct,30-39,White,Male,White,Male,19-61007,2019-12-26,12,2019,Patrol,No injuries noted or visible,Yes,1,0,0,0,0,0,0,0,No injuries noted or visible,Pepper Spray
UOF20-0061,2020-01-06,30-39,11-15 yrs,Bureau Of Transit Police,30-39,Black,Male,White,Female,20-929,2020-01-06,1,2020,Special Operations,No injuries noted or visible,Yes,1,0,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0061,2020-01-06,30-39,11-15 yrs,Bureau Of Transit Police,30-39,Black,Male,White,Female,20-929,2020-01-06,1,2020,Special Operations,No injuries noted or visible,Yes,1,0,0,0,0,0,0,0,No injuries noted or visible,Physical (Striking)
UOF20-0065,2019-03-19,30-39,11-15 yrs,South County Precinct,30-39,White,Male,White,Male,19-13065,2020-02-07,2,2020,Patrol,Serious Injury,No,0,1,1,1,1,0,0,0,No injuries noted or visible,Less Lethal
UOF20-0065,2019-03-19,40-49,11-15 yrs,South County Precinct,30-39,White,Male,White,Male,19-13065,2020-02-07,2,2020,Patrol,Serious Injury,No,0,1,1,1,1,0,0,0,No injuries noted or visible,Taser
UOF20-0098,2020-02-10,30-39,11-15 yrs,Bureau Of Transit Police,30-39,Black,Female,White,Female,20-6849,2020-02-10,2,2020,Special Operations,No injuries noted or visible,Yes,1,0,1,0,1,0,0,0,Minor,Physical Restraint
UOF20-0098,2020-02-10,30-39,11-15 yrs,Bureau Of Transit Police,30-39,Black,Female,White,Female,20-6849,2020-02-10,2,2020,Special Operations,No injuries noted or visible,Yes,1,0,1,0,1,0,0,0,Minor,Physical (Striking)
UOF20-0082,2020-02-13,30-39,11-15 yrs,West County Precinct,30-39,White,Male,White,Male,20-7503,2020-02-13,2,2020,Patrol,No injuries noted or visible,Yes,1,0,0,0,1,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0082,2020-02-13,30-39,11-15 yrs,West County Precinct,30-39,White,Male,White,Male,20-7503,2020-02-13,2,2020,Patrol,No injuries noted or visible,Yes,1,0,0,0,1,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0119,2020-02-19,40-49,11-15 yrs,Drug Enforcement,30-39,White,Male,White,Male,20-8485,2020-02-19,2,2020,Criminal Investigation,Minor Injury,Yes,0,0,1,0,1,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0119,2020-02-19,40-49,11-15 yrs,Drug Enforcement,30-39,White,Male,Black,Male,20-8485,2020-02-19,2,2020,Criminal Investigation,Minor Injury,Yes,0,0,1,0,1,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0142,2020-04-24,30-39,11-15 yrs,City Of Fenton Precinct,30-39,White,Male,White,Female,20-16392,2020-04-24,4,2020,Patrol,Minor Injury,Yes,0,0,0,0,0,1,1,0,No injuries noted or visible,Taser
UOF20-0167,2020-06-07,40-49,11-15 yrs,West County Precinct,30-39,White,Male,White,Male,20-21232,2020-06-07,6,2020,Patrol,No injuries noted or visible,Yes,0,0,1,0,0,0,1,0,No injuries noted or visible,Physical Restraint
UOF20-0249,2020-08-16,30-39,11-15 yrs,West County Precinct,30-39,White,Male,White,Female,20-30810,2020-08-16,8,2020,Patrol,No injuries noted or visible,Yes,1,1,1,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0249,2020-08-16,30-39,11-15 yrs,West County Precinct,30-39,White,Male,White,Female,20-30810,2020-08-16,8,2020,Patrol,No injuries noted or visible,Yes,1,1,1,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0249,2020-08-16,30-39,11-15 yrs,West County Precinct,30-39,White,Male,White,Female,20-30810,2020-08-16,8,2020,Patrol,No injuries noted or visible,Yes,1,1,1,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0249,2020-08-16,30-39,11-15 yrs,West County Precinct,30-39,White,Male,White,Male,20-30810,2020-08-16,8,2020,Patrol,No injuries noted or visible,Yes,1,1,1,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF20-0249,2020-08-16,30-39,11-15 yrs,West County Precinct,30-39,White,Male,White,Male,20-30810,2020-08-16,8,2020,Patrol,No injuries noted or visible,Yes,1,1,1,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF21-0091,2020-08-24,40-49,11-15 yrs,Drug Enforcement,30-39,Black,Male,White,Male,20-31888,2020-08-24,8,2020,Criminal Investigation,Minor Injury,Yes,1,0,1,0,0,1,0,0,Not Specified,Physical (Striking)
UOF20-0230,2020-09-08,40-49,11-15 yrs,Affton Southwest Precinct,30-39,White,Male,White,Male,20-33931,2020-09-08,9,2020,Patrol,No injuries noted or visible,Yes,1,1,1,0,1,0,1,0,No injuries noted or visible,Physical Restraint
UOF20-0230,2020-09-08,30-39,11-15 yrs,Affton Southwest Precinct,30-39,White,Male,White,Male,20-33931,2020-09-08,9,2020,Patrol,No injuries noted or visible,Yes,1,1,1,0,1,0,1,0,No injuries noted or visible,Physical Restraint
UOF21-0031,2021-01-08,30-39,11-15 yrs,City Of Fenton Precinct,30-39,White,Male,White,Female,21-1006,2021-01-08,1,2021,Patrol,Minor Injury,Yes,1,0,1,0,0,0,0,0,Minor,Physical Restraint
UOF21-0064,2021-03-07,40-49,11-15 yrs,South County Precinct,30-39,White,Male,White,Male,21-8567,2021-03-07,3,2021,Patrol,No injuries noted or visible,Yes,0,0,0,0,1,0,0,0,No injuries noted or visible,Physical Restraint
UOF21-0068,2021-03-16,30-39,11-15 yrs,North County Precinct,30-39,Black,Male,White,Male,21-9813,2021-03-16,3,2021,Patrol,No injuries noted or visible,Yes,0,0,1,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF21-0070,2021-03-18,30-39,11-15 yrs,South County Precinct,30-39,Black,Female,White,Male,21-10142,2021-03-18,3,2021,Patrol,No injuries noted or visible,Yes,1,0,0,0,0,0,0,0,No injuries noted or visible,Other
UOF18-043,2018-01-12,20-29,0-5 yrs,North County Precinct,30-39,White,Male,White,Female,18-2049,2018-01-12,1,2018,Patrol,Minor Injury,Yes,1,1,0,0,1,0,0,0,No injuries noted or visible,Physical Restraint
UOF18-043,2018-01-12,20-29,0-5 yrs,North County Precinct,30-39,White,Male,Black,Male,18-2049,2018-01-12,1,2018,Patrol,Minor Injury,Yes,1,1,0,0,1,0,0,0,No injuries noted or visible,Physical Restraint
UOF18-043,2018-01-12,20-29,0-5 yrs,North County Precinct,30-39,White,Male,White,Male,18-2049,2018-01-12,1,2018,Patrol,Minor Injury,No,1,1,0,0,1,0,0,0,No injuries noted or visible,Pepper Spray
UOF18-043,2018-01-12,20-29,0-5 yrs,North County Precinct,30-39,White,Male,White,Male,18-2049,2018-01-12,1,2018,Patrol,Minor Injury,Yes,1,1,0,0,1,0,0,0,No injuries noted or visible,Physical Restraint
UOF18-043,2018-01-12,20-29,0-5 yrs,North County Precinct,30-39,White,Male,White,Male,18-2049,2018-01-12,1,2018,Patrol,Minor Injury,Yes,1,1,0,0,1,0,0,0,No injuries noted or visible,Physical Restraint
UOF18-043,2018-01-12,20-29,0-5 yrs,North County Precinct,30-39,White,Male,White,Male,18-2049,2018-01-12,1,2018,Patrol,Minor Injury,No,1,1,0,0,1,0,0,0,No injuries noted or visible,Physical (Striking)
UOF18-043,2018-01-12,20-29,0-5 yrs,North County Precinct,30-39,White,Male,White,Male,18-2049,2018-01-12,1,2018,Patrol,Minor Injury,Yes,1,1,0,0,1,0,0,0,No injuries noted or visible,Physical Restraint
UOF18-050,2018-01-13,20-29,0-5 yrs,South County Precinct,30-39,White,Male,White,Male,18-2285,2018-01-13,1,2018,Patrol,No injuries noted or visible,Yes,1,1,0,0,1,1,0,0,No injuries noted or visible,Physical (Striking)
UOF18-050,2018-01-13,20-29,0-5 yrs,South County Precinct,30-39,White,Male,White,Male,18-2285,2018-01-13,1,2018,Patrol,No injuries noted or visible,Yes,1,1,0,0,1,1,0,0,No injuries noted or visible,Taser
UOF18-071,2018-01-20,20-29,0-5 yrs,North County Precinct,30-39,Black,Male,White,Male,18-3666,2018-01-20,1,2018,Patrol,No injuries noted or visible,Yes,0,1,0,0,1,0,0,0,No injuries noted or visible,Physical Restraint
UOF18-071,2018-01-20,20-29,0-5 yrs,North County Precinct,30-39,Black,Male,White,Male,18-3666,2018-01-20,1,2018,Patrol,No injuries noted or visible,Yes,0,1,0,0,1,0,0,0,No injuries noted or visible,Physical Restraint
UOF18-071,2018-01-20,20-29,0-5 yrs,North County Precinct,30-39,Black,Male,White,Male,18-3666,2018-01-20,1,2018,Patrol,No injuries noted or visible,Yes,0,1,0,0,1,0,0,0,No injuries noted or visible,Pepper Spray
UOF18-058,2018-01-25,20-29,0-5 yrs,Bureau Of Transit Police,30-39,Black,Male,White,Male,18-4535,2018-01-25,1,2018,Special Operations,No injuries noted or visible,Yes,1,0,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF18-097,2018-02-13,20-29,0-5 yrs,South County Precinct,30-39,Black,Female,White,Male,18-7995,2018-02-13,2,2018,Patrol,No injuries noted or visible,Yes,1,0,1,0,0,1,0,0,No injuries noted or visible,Physical Restraint
UOF18-097,2018-02-13,20-29,0-5 yrs,South County Precinct,30-39,Black,Female,White,Male,18-7995,2018-02-13,2,2018,Patrol,No injuries noted or visible,Yes,1,0,1,0,0,1,0,0,No injuries noted or visible,Physical Restraint
UOF18-099,2018-02-17,30-39,0-5 yrs,North County Precinct,30-39,Black,Male,Black,Male,18-8755,2018-02-17,2,2018,Patrol,No injuries noted or visible,Yes,0,1,1,0,0,1,0,0,No injuries noted or visible,Physical Restraint
UOF18-089,2018-03-04,20-29,0-5 yrs,City Of Jennings Precinct,30-39,Black,Male,White,Male,18-11413,2018-03-04,3,2018,Patrol,Minor Injury,Yes,0,0,1,0,0,0,0,0,No injuries noted or visible,Taser
UOF18-110,2018-03-30,20-29,0-5 yrs,North County Precinct,30-39,Black,Female,White,Male,18-16027,2018-03-30,3,2018,Patrol,No injuries noted or visible,Yes,0,1,0,0,0,0,0,0,No injuries noted or visible,Other
UOF18-113,2018-04-17,30-39,0-5 yrs,Central County Precinct,30-39,Black,Male,Black,Male,18-19403,2018-04-17,4,2018,Patrol,Minor Injury,Yes,0,0,1,0,0,1,0,0,No injuries noted or visible,Taser
UOF18-136,2018-05-03,30-39,0-5 yrs,City Of Jennings Precinct,30-39,Black,Male,Two Or More,Male,18-22156,2018-05-03,5,2018,Patrol,No injuries noted or visible,Yes,1,1,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF18-136,2018-05-03,30-39,0-5 yrs,City Of Jennings Precinct,30-39,Black,Male,Two Or More,Male,18-22156,2018-05-03,5,2018,Patrol,No injuries noted or visible,Yes,1,1,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF18-136,2018-05-03,20-29,0-5 yrs,City Of Jennings Precinct,30-39,Black,Male,Black,Male,18-22156,2018-05-03,5,2018,Patrol,No injuries noted or visible,Yes,1,1,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF18-143,2018-05-04,30-39,0-5 yrs,North County Precinct,30-39,Black,Male,White,Male,18-22642,2018-05-04,5,2018,Patrol,Minor Injury,Yes,0,0,0,0,1,0,0,0,Minor,Taser
UOF18-144,2018-05-10,30-39,0-5 yrs,Bureau Of Transit Police,30-39,Black,Male,White,Male,18-23623,2018-05-10,5,2018,Special Operations,Minor Injury,No,1,1,0,0,0,0,0,0,Minor,Physical Restraint
UOF18-144,2018-05-10,30-39,0-5 yrs,Bureau Of Transit Police,30-39,Black,Male,White,Male,18-23623,2018-05-10,5,2018,Special Operations,Minor Injury,No,1,1,0,0,0,0,0,0,Minor,Physical (Striking)
UOF18-144,2018-05-10,30-39,0-5 yrs,Bureau Of Transit Police,30-39,Black,Male,White,Male,18-23623,2018-05-10,5,2018,Special Operations,Minor Injury,Yes,1,1,0,0,0,0,0,0,Minor,Taser
UOF18-152,2018-05-16,30-39,0-5 yrs,North County Precinct,30-39,Black,Male,Black,Male,18-24851,2018-05-16,5,2018,Patrol,No injuries noted or visible,Yes,0,0,1,0,0,1,0,0,No injuries noted or visible,Physical Restraint
UOF18-153,2018-05-16,30-39,0-5 yrs,North County Precinct,30-39,Black,Female,Black,Male,18-24851,2018-05-16,5,2018,Patrol,Minor Injury,Yes,0,0,1,0,0,0,1,0,No injuries noted or visible,Physical Restraint
UOF18-137,2018-05-17,20-29,0-5 yrs,Bureau Of Transit Police,30-39,Black,Male,White,Male,18-25356,2018-05-17,5,2018,Special Operations,No injuries noted or visible,Yes,0,0,1,0,1,0,0,0,No injuries noted or visible,Physical (Striking)
UOF18-137,2018-05-17,30-39,0-5 yrs,Central County Precinct,30-39,Black,Male,Black,Male,18-25356,2018-05-17,5,2018,Patrol,No injuries noted or visible,Yes,0,0,1,0,1,0,0,0,No injuries noted or visible,Physical Restraint
UOF18-192,2018-06-05,20-29,0-5 yrs,West County Precinct,30-39,White,Male,White,Male,18-28636,2018-06-05,6,2018,Patrol,Minor Injury,Yes,1,0,0,0,0,0,0,0,No injuries noted or visible,Physical Restraint
UOF18-164,2018-06-06,20-29,0-5 yrs,North County Precinct,30-39,Black,Male,Two Or More,Male,18-28986,2018-06-06,6,2018,Patrol,No injuries noted or visible,Yes,1,0,1,0,0,0,0,0,No injuries noted or visible,Physical Restraint
