_id,IdentificationNumber,Department,Status,DateReported,Date Closed,Category1,Category2,Category3,Category4
1373,2022-0230,Milwaukee Police Department,Closed,6/21/2022,9/15/2022,"Respect, 5.02 - FT Act W/Fairness, self control, tolerance, or impartiality","Respect, 5.01 - FT treat the public with courtesy & professionalism",,
1374,2022-0231,Milwaukee Police Department,Closed,6/23/2022,12/28/2023,"Integrity, 3.03 - Improper Search & Seizure",,,Unjustified Search
1375,2022-0232,Milwaukee Police Department,Closed,6/23/2022,12/15/2022,"Respect, 5.03 - FT obey an order",,,
1376,2022-0233,Milwaukee Police Department,Closed,6/23/2022,2/3/2023,"Respect, 5.01 - FT be civil & courteous",,,
1377,2022-0234,Milwaukee Police Department,Closed,6/24/2022,1/9/2023,"Competence, 1.04 - FT Fully Investigate",,,
1378,2022-0235,Milwaukee Police Department,Closed,6/24/2022,9/1/2022,"Competence, 1.04 - FT Fully Investigate","Respect, 5.02 - FT Act W/Fairness, self control, tolerance, or impartiality",,
1379,2022-0236,Milwaukee Police Department,Open,6/26/2022,,"Integrity, 3.06 - Interfering in the business of another","Respect, 5.01 - FT treat the public with courtesy & professionalism","Competence, 1.04 - FT Fully Investigate","Competence, 1.05 - SOP Bodyworn Camera"
1380,2022-0237,Milwaukee Police Department,Closed,6/28/2022,2/3/2023,"Integrity, 3.05 - FT State 4th Deg Sexual Assault",,,
1381,2022-0238,Milwaukee Police Department,Closed,6/29/2022,9/23/2022,"Respect, 5.01 - FT treat another member with courtesy & professionalism",,,
1382,2022-0239,Milwaukee Police Department,Closed,7/1/2022,3/3/2023,"Competence, 1.04 - FT Fully Investigate",,,
1383,2022-0240,Milwaukee Police Department,Closed,7/1/2022,12/13/2022,"Respect, 5.01 - FT treat the public with courtesy & professionalism",,,
1384,2022-0241,Milwaukee Police Department,Open,7/1/2022,,"Competence, 1.05 - SOP Citizen Contact, FI's, Search & Seizure",,,Unjustified Search
1385,2022-0242,Milwaukee Police Department,Closed,7/3/2022,8/9/2023,"Integrity, 3.05 - FT STATE THEFT",,,
1386,2022-0243,Milwaukee Police Department,Closed,7/6/2022,11/8/2023,"Integrity, 3.01 - Behavior that could discredit the Dept.","Competence, 1.05 - SOP Social Networking Sites",,
1387,2022-0244,Milwaukee Police Department,Closed,7/11/2022,9/15/2022,"Respect, 5.01 - FT treat the public with courtesy & professionalism",,,
1388,2022-0245,Milwaukee Police Department,Closed,7/11/2022,8/19/2022,"Competence, 1.05 - F/T Know Dept Policy/Procedure",,,
1389,2022-0246,Milwaukee Police Department,Closed,7/11/2022,9/20/2022,"Respect, 5.01 - FT treat the public with courtesy & professionalism",,,
1390,2022-0247,Milwaukee Police Department,Closed,6/27/2022,1/31/2023,"Competence, 1.02 - FT cooperate with a citizen to ensure public safety","Leadership, 4.05 - FT maintain professional standards through the provision of advice and guidance",,
1391,2022-0248,Milwaukee Police Department,Closed,6/27/2022,9/1/2022,"Integrity, 3.06 - Interfering in business of another",,,
2022 - Q3,,,,,,,,,
1392,2022-0249,Milwaukee Police Department,Closed,7/1/2022,7/6/2022,Department Procedures,,,
1393,2022-0250,Milwaukee Police Department,Closed,7/5/2022,7/8/2022,Department Services,,,
1394,2022-0251,Milwaukee Police Department,Closed,7/8/2022,11/2/2022,Department Procedures,,,
1395,2022-0252,Milwaukee Police Department,Closed,7/5/2022,8/12/2022,No Allegation,,,
1396,2022-0253,Non-Employee,Closed,7/7/2022,7/11/2022,Department Procedures,,,
1397,2022-0254,Milwaukee Police Department,Closed,7/8/2022,9/22/2022,Department Procedures,,,
1398,2022-0255,Milwaukee Police Department,Closed,7/11/2022,7/12/2022,No Allegation,,,
1399,2022-0256,Milwaukee Police Department,Closed,7/11/2022,8/11/2022,Department Procedures,,,
1400,2022-0257,Milwaukee Police Department,Closed,7/11/2022,7/29/2022,Department Procedures,,,
1401,2022-0258,Milwaukee Police Department,Closed,7/13/2022,7/15/2022,Department Services,,,
1402,2022-0259,Milwaukee Police Department,Closed,7/18/2022,7/20/2022,Disparate Treatment ,,,
1403,2022-0260,Milwaukee Police Department,Closed,7/20/2022,7/20/2022,Discourtesy,,,
1404,2022-0261,Milwaukee Police Department,Closed,7/14/2022,7/25/2022,Disparate Treatment ,,,
1405,2022-0262,Milwaukee Police Department,Closed,7/27/2022,8/2/2022,Department Services,,,
1406,2022-0263,Milwaukee Police Department,Closed,7/28/2022,9/6/2022,Disparate Treatment ,,,Unjustified Search
1407,2022-0264,Non-Employee,Closed,7/29/2022,8/2/2022,No Allegation,,,
1408,2022-0265,Milwaukee Police Department,Closed,7/27/2022,8/17/2022,Department Services,,,
1409,2022-0266,Milwaukee Police Department,Closed,7/28/2022,8/1/2022,Department Procedures,,,
1410,2022-0267,Non-Employee,Closed,7/29/2022,8/1/2022,No Allegation,,,
1411,2022-0268,Non-Employee,Closed,7/29/2022,7/29/2022,No Allegation,,,
1412,2022-0269,Milwaukee Police Department,Closed,8/1/2022,3/8/2023,Department Procedures,Use of Force,Discourtesy,
1413,2022-0270,Milwaukee Police Department,Closed,8/1/2022,8/29/2022,Department Services,,,
1414,2022-0271,Milwaukee Police Department,Closed,8/4/2022,8/18/2022,Department Procedures,,,
1415,2022-0272,Milwaukee Police Department,Closed,8/8/2022,8/8/2022,Information Only,,,
1416,2022-0273,911 Dispatcher,Closed,8/9/2022,8/19/2022,Department Procedures,,,
1417,2022-0274,Milwaukee Police Department,Closed,8/10/2022,8/10/2022,No Allegation,,,
1418,2022-0275,Milwaukee Police Department,Closed,8/11/2022,8/17/2022,Department Procedures,,,
1419,2022-0276,Non-Employee,Closed,8/8/2022,8/29/2022,No Allegation,,,
1420,2022-0277,Milwaukee Police Department,Closed,8/15/2022,8/15/2022,Department Procedures,,,
1421,2022-0278,Milwaukee Police Department,Closed,8/12/2022,8/30/2022,Department Procedures,,,Unjustified Search
1422,2022-0279,Milwaukee Police Department,Closed,8/16/2022,8/16/2022,Department Procedures,Department Services,,
1423,2022-0280,Milwaukee Police Department,Closed,8/17/2022,8/31/2022,Department Procedures,,,
1424,2022-0281,Milwaukee Police Department,Closed,8/19/2022,8/26/2022,Department Services,,,
1425,2022-0282,Milwaukee Police Department,Closed,8/23/2022,8/25/2022,Department Procedures,,,
1426,2022-0283,Milwaukee Fire Department,Closed,8/26/2022,10/14/2022,Department Procedures,,,
1427,2022-0284,Milwaukee Police Department,Closed,8/29/2022,9/19/2022,Department Procedures,,,Unjustified Search
1428,2022-0285,Milwaukee Police Department,Closed,8/30/2022,8/31/2022,Department Services,,,
1429,2022-0286,Milwaukee Police Department,Closed,9/1/2022,9/26/2022,Department Services,,,
1430,2022-0287,Milwaukee Police Department,Closed,8/31/2022,9/9/2022,Use of Force,,,Unjustified Search
1431,2022-0288,Milwaukee Police Department,Closed,9/1/2022,9/12/2022,Department Services,,,
1432,2022-0289,Milwaukee Police Department,Closed,9/2/2022,10/27/2022,Department Services,,,
1433,2022-0290,Non-Employee,Closed,9/6/2022,9/7/2022,Department Services,,,
1434,2022-0291,Milwaukee Police Department,Closed,9/7/2022,9/29/2022,Department Services,Department Procedures,,
1435,2022-0292,Milwaukee Police Department,Closed,9/9/2022,9/13/2022,Department Services,,,
1436,2022-0293,Milwaukee Police Department,Closed,9/9/2022,1/5/2023,Department Services,Department Procedures,Discourtesy,
1437,2022-0294,Milwaukee Police Department,Closed,9/9/2022,9/9/2022,Department Services,,,
1438,2022-0295,Non-Employee,Closed,9/12/2022,9/12/2022,No Allegation,,,
1439,2022-0296,Milwaukee Police Department,Closed,9/9/2022,9/13/2022,Department Services,,,
1440,2022-0297,Milwaukee Police Department,Closed,9/19/2022,9/20/2022,Department Services,,,
1441,2022-0298,Milwaukee Police Department,Closed,9/15/2022,9/15/2022,Information Only,,,
1442,2022-0299,Milwaukee Police Department,Closed,9/19/2022,9/19/2022,Department Procedures,,,
SKIP,,SKIP - OPENED IN ERROR,,,,,,,
1443,2022-0300,Milwaukee Police Department,Closed,9/28/2022,10/12/2022,Department Services,,,
1444,2022-0301,Milwaukee Police Department,Closed,9/28/2022,9/29/2022,Department Procedures,,,
1445,2022-0302,Non-Employee,Closed,9/30/2022,10/4/2022,Department Services,,,
1446,2022-0303,Milwaukee Police Department,Closed,9/23/2022,9/23/2022,Department Procedures,,,
1447,2022-0304,Non-Employee,Closed,9/29/2022,9/29/2022,No Allegation,,,
1448,2022-0305,Milwaukee Police Department,Closed,7/1/2022,3/3/2023,"Competence, 1.04 - FT Fully Investigate",,,
1449,2022-0306,Milwaukee Police Department,Closed,7/1/2022,12/13/2022,"Respect, 5.01 - FT treat the public with courtesy & professionalism",,,
1450,2022-0307,Milwaukee Police Department,Closed,7/3/2022,8/29/2023,"Integrity, 3.05 - FT STATE THEFT",,,
1451,2022-0308,Milwaukee Police Department,Closed,7/6/2022,11/8/2023,"Competence, 1.05 - SOP Social Networking Sites","Integrity, 3.01 - Behavior that could discredit the Dept.",,
1452,2022-0309,Milwaukee Police Department,Closed,7/11/2022,9/15/2022,"Respect, 5.01 - FT treat the public with courtesy & professionalism",,,
1453,2022-0310,Milwaukee Police Department,Closed,7/11/2022,8/19/2022,"Competence, 1.05 - F/T Know Dept Policy/Procedure",,,
1454,2022-0311,Milwaukee Police Department,Closed,7/11/2022,9/20/2022,"Respect, 5.01 - FT treat the public with courtesy & professionalism",,,
1455,2022-0312,Milwaukee Police Department,Closed,6/27/2022,1/31/2023,"Leadership, 4.05 - FT to maintain professional standards through the provision of advice and guidance","Competence, 1.02 - FT cooperate with a citizen to ensure public safety",,
1456,2022-0313,Milwaukee Police Department,Closed,6/27/2022,9/1/2022,"Integrity, 3.06 - Interfering in business of another",,,
1457,2022-0314,Milwaukee Police Department,Closed,7/12/2022,1/17/2023,"Respect, 5.03 - FT obey an order",,,
1458,2022-0315,Milwaukee Police Department,Closed,7/12/2022,2/22/2023,"Respect, 5.03 - FT obey an order",,,
1459,2022-0316,Milwaukee Police Department,Closed,7/12/2022,5/26/2023,"Restraint, 6.01 - Excessive use of force - bodily","Restraint, 6.01 - Excessive use of force - ECD",,
1460,2022-0317,Milwaukee Police Department,Closed,7/13/2022,1/23/2023,"Respect, 5.01 - FT treat a supervisor with courtesy & professionalism","Competence, 1.06 - Late for duty","Competence, 1.05 - SOP Absence",
1461,2022-0318,Milwaukee Police Department,Closed,7/14/2022,10/3/2022,"Integrity, 3.05 - FT CITY - ORDINANCE",,,
1462,2022-0319,Milwaukee Police Department,Closed,7/15/2022,12/13/2022,"Respect, 5.01 - FT be civil & courteous",,,
1463,2022-0320,Milwaukee Police Department,Closed,7/15/2022,11/17/2022,"Competence, 1.05 - SOP Use of Force","Competence, 1.04 - Use of Force",,
1464,2022-0321,Milwaukee Police Department,Closed,7/15/2022,1/11/2023,"Restraint, 6.01 - Excessive use of force - bodily",,,
1465,2022-0322,Milwaukee Police Department,Closed,7/16/2022,9/15/2022,"Competence, 1.04 - FT File Reports",,,
1466,2022-0323,Milwaukee Police Department,Closed,7/2/2022,10/4/2022,"Respect, 5.01 - FT be civil & courteous","Respect, 5.02 - FT Act W/Fairness, self control, tolerance, or impartiality",,
1467,2022-0324,Milwaukee Police Department,Closed,7/18/2022,4/7/2023,"Integrity, 3.06",,,
1468,2022-0325,Milwaukee Police Department,Closed,7/18/2022,11/16/2022,"Integrity, 3.03 - Improper Search & Seizure",,,Unjustified Search
1469,2022-0326,Milwaukee Police Department,Closed,7/19/2022,2/24/2023,"Restraint, 6.01 - Excessive use of force - bodily",,,
1470,2022-0327,Milwaukee Police Department,Closed,7/20/2022,2/10/2023,"Competence, 1.05 - SOP Absence","Competence, 1.06 - Late for duty",,
1471,2022-0328,Milwaukee Police Department,Closed,7/26/2022,10/4/2022,"Competence, 1.03 - Slow response for service","Competence, 1.04 - FT Fully Investigate",,
1472,2022-0329,Milwaukee Police Department,Closed,7/27/2022,9/9/2024,"Competence, 1.04 - FT Be Efficient","Competence, 1.05 - SOP Citizen Contact, FI's, Search & Seizure","Leadership, 4.04 - FT ensure subordinates carry out duties",
1473,2022-0330,Milwaukee Police Department,Closed,7/27/2022,1/24/2023,"Competence, 1.05 - SOP Communications","Competence, 1.05 - SOP Vehicle Pursuits and Emergency Vehicle Operations",,
1474,2022-0331,Milwaukee Police Department,Closed,7/28/2022,10/4/2022,"Respect, 5.01 - FT treat the public with courtesy & professionalism",,,
1475,2022-0332,Milwaukee Police Department,Closed,7/29/2022,9/15/2022,"Competence, 1.05 - Interactions with Transgender, Intersex, and/or Gender Non-Conforming (Tign) Persons",,,
1476,2022-0333,Milwaukee Police Department,Open,7/29/2022,,"Integrity, 3.05 - FT CITY - OWI",,,
1477,2022-0334,Milwaukee Police Department,Closed,7/29/2022,9/3/2024,"Competence, 1.04 - FT File Accurate Reports","Leadership, 4.04 - FT ensure subordinates carry out duties","Respect, 5.03 - FT obey an order",
1478,2022-0335,Milwaukee Police Department,Closed,8/1/2022,1/9/2023,"Competence, 1.04 - Reasonable Suspicion",,,
1479,2022-0336,Milwaukee Police Department,Closed,8/1/2022,9/15/2022,"Respect, 5.01 - FT be civil & courteous",,,
1480,2022-0337,Milwaukee Police Department,Closed,8/1/2022,3/2/2023,"Competence, 1.04 FT Fully Investigate",,,
1481,2022-0338,Milwaukee Police Department,Closed,8/3/2022,11/1/2022,"Competence, 1.04 FT Fully Investigate",,,
1482,2022-0339,Milwaukee Police Department,Closed,8/4/2022,8/31/2023,"Competence, 1.05 - SOP Social Networking Sites","Integrity, 3.01 - Behavior that could discredit the Dept.",,
1483,2022-0340,Milwaukee Police Department,Closed,8/5/2022,11/1/2023,"Competence, 1.05 - SOP Homeless Persons",,,
1484,2022-0341,Milwaukee Police Department,Closed,8/5/2022,5/23/2023,"Integrity, 3.04 - FT Treat Dept. Info as Confidential",,,
1485,2022-0342,Milwaukee Police Department,Closed,8/9/2022,4/18/2023,"Competence, 1.04 FT Fully Investigate",,,
1486,2022-0343,Milwaukee Police Department,Open,8/10/2022,9/2/2024,"Competence, 1.04 - FT File Accurate Reports","Leadership, 4.04 - FT ensure subordinates carry out duties",,
1487,2022-0344,Milwaukee Police Department,Closed,8/10/2022,10/3/2022,"Competence, 1.05 - SOP Prisoner - Escape",,,
1488,2022-0345,Milwaukee Police Department,Closed,8/11/2022,2/13/2023,"Competence, 1.05 - SOP Booking Procedures",,,
1489,2022-0346,Milwaukee Police Department,Closed,8/12/2022,10/14/2022,"Respect, 5.01 - FT be civil & courteous",,,
1490,2022-0347,Milwaukee Police Department,Closed,8/12/2022,11/10/2022,"Respect, 5.01 - FT be civil & courteous",,,
1491,2022-0348,Milwaukee Police Department,Open,8/15/2022,,"Restraint, 6.01 - Excessive use of force - bodily",,,
1492,2022-0349,Milwaukee Police Department,Closed,8/15/2022,5/14/2024,"Restraint, 6.01 - Excessive use of force - bodily","Competence, 1.05 - SOP Use of Force",,
1493,2022-0350,Milwaukee Police Department,Closed,8/15/2022,7/31/2023,"Competence, 1.05 - SOP Vehicle Pursuits",,,
1494,2022-0351,Milwaukee Police Department,Closed,8/19/2022,9/15/2022,NO ALLEGATION - INFORMATION ONLY,,,
1495,2022-0352,Milwaukee Police Department,Open,7/6/2022,,"Integrity, 3.01 - Behavior that could discredit the Dept.","Integrity, 3.11 - Untruthfulness",,
1496,2022-0353,Milwaukee Police Department,Closed,8/24/2022,10/31/2022,"Competence, 1.05 - SOP Property",,,
1497,2022-0354,Milwaukee Police Department,Closed,8/25/2022,10/24/2022,"Respect, 5.01 - FT be civil & courteous",,,
1498,2022-0355,Milwaukee Police Department,Closed,8/25/2022,4/25/2023,"Respect, 5.01 - FT be civil & courteous",,,
1499,2022-0356,Milwaukee Police Department,Closed,8/29/2022,12/13/2022,"Respect, 5.01 - FT be civil & courteous",,,
1500,2022-0357,Milwaukee Police Department,Closed,8/30/2022,9/22/2023,"Restraint, 6.01 - Excessive use of force - Firearm",,,
1501,2022-0358,Milwaukee Police Department,Open,9/1/2022,,"Integrity, 3.04 - FT Treat Dept. Info as Confidential",,,
1502,2022-0359,Milwaukee Police Department,Open,9/3/2022,,"Restraint, 6.01 - Excessive use of force - Firearm",,,
1503,2022-0360,Milwaukee Police Department,Closed,9/5/2022,6/20/2023,"Competence, 1.10 - FT safeguard Dept. equipment",,,
1504,2022-0361,Milwaukee Police Department,Closed,9/5/2022,2/19/2024,"Integrity, 3.05 - FT STATE DC/DV","Integrity, 3.01 - Behavior that could discredit the Dept.",,
1505,2022-0362,Milwaukee Police Department,Closed,9/8/2022,1/11/2023,"Competence, 1.05 - SOP Property","Respect, 5.01 - FT treat the public with courtesy & professionalism",,
1506,2022-0363,Milwaukee Police Department,Closed,9/9/2022,10/14/2023,"Respect, 5.01 - FT be civil & courteous",,,
1507,2022-0364,Milwaukee Police Department,Closed,9/10/2022,6/27/2023,"Restraint, 6.01 - Excessive use of force - Firearm",,,
1508,2022-0365,Milwaukee Police Department,Open,9/13/2022,,"Restraint, 6.01 - Excessive use of force - Firearm",,,
1509,2022-0366,Milwaukee Police Department,Closed,9/15/2022,9/5/2023,"Competence, 1.04 - FT Fully Investigate",,,
1510,2022-0367,Milwaukee Police Department,Closed,9/15/2022,5/23/2023,"Integrity, 3.05",,,
1511,2022-0368,Milwaukee Police Department,Closed,9/20/2022,5/30/2024,"Integrity, 3.05 - FT CITY - THEFT",,,
1512,2022-0369,Milwaukee Police Department,Closed,9/17/2022,2/13/2023,"Respect, 5.01 - FT treat the public with courtesy & professionalism",,,
1513,2022-0370,Milwaukee Police Department,Open,9/20/2022,,"Competence, 1.04 - FT File Accurate Reports","Respect, 5.03 - FT obey an order",,
1514,2022-0371,Milwaukee Police Department,Closed,9/22/2022,3/19/2024,"Integrity, 3.06 - Misuse of official position",,,
1515,2022-0372,Milwaukee Police Department,Closed,9/22/2022,1/9/2023,"Competence, 1.07 - FT appear court",,,
1516,2022-0373,Milwaukee Police Department,Open,9/22/2022,,"Restraint, 6.01 - Excessive use of force - Other","Respect, 5.01 - FT treat the public with courtesy & professionalism","Competence, 1.05 - SOP Vehicle Pursuits",
1517,2022-0374,Milwaukee Police Department,Closed,9/23/2022,2/24/2023,"Competence, 1.03 - FT render service promptly & efficiently",,,
1518,2022-0375,Milwaukee Police Department,Closed,9/23/2022,4/20/2023,"Competence, 1.05","Leadership, 4.04 - FT ensure members carry out duties correctly",,
1519,2022-0376,Milwaukee Police Department,Closed,9/26/2022,12/12/2023,"Competence, 1.05 - SOP FT Search Squad","Competence, 1.05 - SOP Citizen Contact, FI's, Search & Seizure",,
1520,2022-0377,Milwaukee Police Department,Closed,9/27/2022,10/11/2022,"Competence, 1.03 - F/T TAKE ACTION",,,
1521,2022-0378,Milwaukee Police Department,Closed,9/27/2022,12/14/2022,"Integrity, 3.03 - Unfair Arrest","Respect, 5.02 - FT Act W/Fairness, self control, tolerance, or impartiality",,
1522,2022-0379,Milwaukee Police Department,Closed,9/27/2022,10/26/2022,"Integrity, 3.01 - Behavior that could discredit the Dept. ",,,
1523,2022-0380,Milwaukee Police Department,Closed,9/29/2022,6/26/2023,"Integrity, 3.03 - Unfair Arrest",,,
1524,2022-0381,Milwaukee Police Department,Closed,9/30/2022,10/11/2022,"Competence, 1.01 - Probationary Performance",,,
1525,2022-0382,Milwaukee Police Department,Closed,9/30/2022,9/23/2023,"Competence, 1.05 - SOP Prisoner - Searching Of",,Unjustified Search,
1526,2022-0383,Milwaukee Police Department,Closed,9/30/2022,12/12/2023,"Competence, 1.05 - FT immediately notify dispatcher of non-pursuit circumstances","Competence, 1.05 - FT advise ECO of all changes in status","Competence, 1.05 - FT keep BWC activated until completion of event",
1527,2022-0384,Milwaukee Police Department,Open,9/30/2022,,"Competence, 1.04 - FT Fully Investigate","Competence, 1.05 - SOP Citizen Contact, FI's, Search & Seizure",,
2022 - Q4,,,,,,,,,
1528,2022-0385,Milwaukee Police Department,Closed,10/6/2022,10/10/2022,Department Procedures,,,Unjustified Traffic Stop
1529,2022-0386,Milwaukee Police Department,Closed,10/12/2022,10/12/2022,,,,
1530,2022-0387,Milwaukee Police Department,Closed,9/23/2022,9/23/2022,Department Procedures,,,
1531,2022-0388,Non-Employee,Closed,9/29/2022,9/29/2022,No Allegation,,,
1532,2022-0389,Milwaukee Police Department,Closed,11/21/2022,12/17/2022,Use of Force,,,
1533,2022-0390,Non-Employee,Closed,10/13/2022,10/13/2022,Department Procedures,,,
1534,2022-0391,Milwaukee Police Department,Closed,10/13/2022,10/13/2022,Department Procedures,,,
1535,2022-0392,Milwaukee Police Department,Closed,10/19/2022,10/28/2022,Department Services,Department Services,,
1536,2022-0393,Milwaukee Police Department,Closed,10/20/2022,10/20/2022,Department Services,,,
1537,2022-0394,Milwaukee Police Department,Closed,10/20/2022,11/1/2022,Department Services,,,
1538,2022-0395,Milwaukee Police Department,Closed,10/25/2022,12/6/2022,Use of Force,Disparate Treatment,,
1539,2022-0396,Non-Employee,Closed,10/27/2022,10/27/2022,No Allegation,,,
1540,2022-0397,Milwaukee Police Department,Closed,10/10/2022,11/2/2022,Department Procedures,,,
1541,2022-0398,Milwaukee Police Department,Closed,10/25/2022,11/1/2022,Information Only,,,
1542,2022-0399,Milwaukee Police Department,Closed,10/26/2022,12/16/2022,Department Procedures,Disparate Treatment,Discourtesy,Department Services
1543,2022-0400,Milwaukee Police Department,Closed,11/9/2022,11/14/2022,Disparate Treatment,,,
1544,2022-0401,Milwaukee Police Department,Closed,11/9/2022,12/16/2022,Department Procedures,,,
1545,2022-0402,911 Dispatcher,Closed,11/11/2022,11/11/2022,Department Services,,,
1546,2022-0403,Milwaukee Police Department,Closed,11/21/2022,11/21/2022,Disparate Treatment,,,
1547,2022-0404,Milwaukee Police Department,Closed,11/21/2022,11/22/2022,Department Procedures,,,
1548,2022-0405,Non-Employee,Closed,11/28/2022,11/28/2022,No Allegation,,,
1549,2022-0406,Milwaukee Police Department,Closed,11/28/2022,11/28/2022,Department Procedures,,,
1550,2022-0407,Milwaukee Police Department,Closed,11/28/2022,1/9/2023,Department Procedures,,,
1551,2022-0408,Milwaukee Police Department,Closed,11/28/2022,11/28/2022,Department Procedures,,,
1552,2022-0409,Milwaukee Police Department,Closed,11/28/2022,12/16/2022,Department Procedures,,,
1553,2022-0410,Unknown,Closed,11/28/2022,12/16/2022,No Allegation,,,
1554,2022-0411,Milwaukee Police Department,Closed,11/28/2022,12/6/2022,Department Services,,,
1555,2022-0412,Milwaukee Police Department,Closed,12/1/2022,1/9/2023,Discourtesy,,,
1556,2022-0413,Non-Employee,Closed,12/5/2022,12/6/2022,No Allegation,,,
1557,2022-0414,Milwaukee Fire Department,Closed,12/6/2022,12/6/2022,Information Only,,,
1558,2022-0415,Milwaukee Police Department,Closed,12/8/2022,1/11/2023,Department Services,,,
1559,2022-0416,Non-Employee,Closed,12/12/2022,12/15/2022,No Allegation,,,
1560,2022-0417,Milwaukee Fire Department,Closed,12/27/2022,1/3/2023,Discourtesy,,,
1561,2022-0418,Non-Employee,Closed,12/29/2022,12/29/2022,No Allegation,,,
1562,2022-0419,FPC Investigator,Closed,12/29/2022,1/9/2023,Department Services,,,
1563,2022-0420,Non-Employee,Closed,12/13/2022,12/13/2022,No Allegation,,,
1564,2022-0421,Non-Employee,Closed,12/21/2022,12/21/2022,No Allegation,,,
1565,2022-0422,Non-Employee,Closed,12/27/2022,1/20/2023,No Allegation,,,
1566,2022-0423,Milwaukee Police Department,Open,10/3/2022,,"Competence, 1.04 - FT Fully Investigate",,,
1567,2022-0424,Milwaukee Police Department,Closed,9/30/2022,10/11/2022,"Competence, 1.01 - Probationary Performance",,,
1568,2022-0425,Milwaukee Police Department,Closed,9/30/2022,9/23/2023,"Competence, 1.05 - SOP Prisoner - Searching Of",,,
1569,2022-0426,Milwaukee Police Department,Closed,9/30/2022,12/12/2023,"Competence, 1.05 - SOP Vehicle Pursuits and Emergency Vehicle Operations","Competence, 1.05 - SOP Communications","Competence, 1.05 - SOP Bodyworn Camera",
1570,2022-0427,Milwaukee Police Department,Open,9/30/2022,,"Competence, 1.04 - FT Fully Investigate","Competence, 1.05 - SOP Citizen Contact, FI's, Search & Seizure",,
1571,2022-0428,Milwaukee Police Department,Closed,10/4/2022,1/31/2023,"Integrity, 3.11 - Untruthfulness",,,
1572,2022-0429,Milwaukee Police Department,Closed,10/5/2022,10/11/2022,"Restraint, 6.01 - Excessive use of force - Firearm",,,
1573,2022-0430,Milwaukee Police Department,Closed,10/7/2022,1/31/2023,"Competence, 1.03 - No response/no service",,,
1574,2022-0431,Milwaukee Police Department,Closed,10/7/2022,,"Competence, 1.03 - FT render service promptly & efficiently",,,
1575,2022-0432,Milwaukee Police Department,Closed,10/7/2022,12/14/2022,"Respect, 5.01 - FT be civil & courteous",,,
1576,2022-0433,Milwaukee Police Department,Closed,10/7/2022,11/15/2022,No Allegation; Information Only,,,
1577,2022-0434,Milwaukee Police Department,Closed,10/7/2022,1/17/2023,"Leadership, 4.05 - FT to maintain professional standards through the provisio of advice and guidance","Competence, 1.05 - SOP Personnel Investigations","Competence, 1.04 - Reasonable Suspicion","Competence, 1.05 - SOP Citation Procedures"
1578,2022-0435,Milwaukee Police Department,Closed,10/7/2022,12/14/2022,No Allegation; Information Only,,,
1579,2022-0436,Milwaukee Police Department,Closed,10/7/2022,1/9/2023,No Allegation; Information Only,,,
1580,2022-0437,Milwaukee Police Department,Closed,10/7/2022,2/19/2024,"Competence, 1.06 - Late for duty",,,
1581,2022-0438,Milwaukee Police Department,Closed,10/7/2022,12/13/2022,"Competence, 1.04 - FT Fully Investigate",,,
1582,2022-0439,Milwaukee Police Department,Closed,10/7/2022,12/14/2022,"Respect, 5.01 - FT be civil & courteous",,,
1583,2022-0440,Milwaukee Police Department,Closed,10/11/2022,1/24/2023,"Competence, 1.07 - FT appear court",,,
1584,2022-0441,Milwaukee Police Department,Closed,10/11/2022,1/9/2023,"Competence, 1.03 - Idling & loafing",,,
1585,2022-0442,Milwaukee Police Department,Closed,10/13/2022,12/13/2023,"Competence, 1.04 - FT File Reports","Integrity, 3.03 - Improper Search & Seizure",,
1586,2022-0443,Milwaukee Police Department,Closed,10/13/2022,1/9/2023,"Competence, 1.04 - FT Fully Investigate",,,
1587,2022-0444,Milwaukee Police Department,Closed,10/14/2022,12/14/2022,"Respect, 5.01 - FT treat the public with courtesy & professionalism",,,
1588,2022-0445,Milwaukee Police Department,Closed,10/17/2022,11/16/2022,"Competence, 1.04 - FT File Reports",,,
1589,2022-0446,Milwaukee Police Department,Closed,10/18/2022,3/28/2023,"Competence, 1.04 - FT File Reports",,,
1590,2022-0447,Milwaukee Police Department,Closed,10/19/2022,2/3/2023,"Respect, 5.01 - FT be civil & courteous","Competence, 1.05 - SOP Bodyworn Camera",,
1591,2022-0448,Milwaukee Police Department,Closed,10/20/2022,7/25/2023,"Competence, 1.04 - FT File Accurate Reports",,,
1592,2022-0449,Milwaukee Police Department,Open,10/24/2022,,"Competence, 1.04 - FT Fully Investigate",,,
1593,2022-0450,Milwaukee Police Department,Closed,10/24/2022,3/27/2023,"Integrity, 3.11 - Untruthfulness","Competence, 1.05 - SOP Bodyworn Camera","Respect, 5.01 - FT be civil & courteous",
1594,2022-0451,Milwaukee Police Department,Closed,10/24/2022,3/27/2023,"Competence, 1.05 - SOP Bodyworn Camera",,,
1595,2022-0452,Milwaukee Police Department,Open,10/26/2022,,"Competence, 1.04 - FT Fully Investigate",,,
1596,2022-0453,Milwaukee Police Department,Closed,10/26/2022,2/22/2023,"Competence, 1.05 - SOP Prisoners and Booking",,,
1597,2022-0454,Milwaukee Police Department,Open,10/27/2022,,"Respect, 5.01 - FT treat the public with courtesy & professionalism",,,
